Question,Topic,UserAnswer(s),CorrectAnswer (MultiChoice),Correct?
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Y
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Y
What does "HTML" stand for?,HTML,High Tech Multimedia Library,Hyper Text Markup Language,N
Which of these programs are an example of spreadsheet software?,Software,Chrome,Microsoft Excel,N
What does 'phishing' mean?,Software,A programming language,An online scam used to steal sensitive information,N
Which of these is an example of cloud storage?,Software,Google Drive,Google Drive,Y
Tick all the following input devices,Hardware,Mouse,N
Tick all the following examples of cloud storage,Software,Google Drive,N
Tick all the following examples of cloud storage,Software,External Harddrive,N
Tick all the following input devices,Hardware,Mouse,Scanner,N
Score is 3 out of 10
