Question,Topic,UserAnswer(s),CorrectAnswer (MultiChoice),Correct?
What is the brain of a PC?,Hardware,Motherboard,CPU (Central Processing Unit),N
What does a "firewall" do?,Software,Lights the PC on fire in emergencies,Protects a device from threats,N
Which of the following are an 'input device'?,Hardware,Printer,Mouse,N
What does "HTML" stand for?,HTML,Hyper Text Markup Language,Hyper Text Markup Language,Y
Which of the following are an 'output device'?,Hardware,Scanner,Printer,N
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Y
Which of these programming languages are used for building websites?,HTML,Python,HTML,N
Which of these is an example of cloud storage?,Software,Google Drive,Google Drive,Y
What does 'phishing' mean?,Software,An online scam used to steal sensitive information,An online scam used to steal sensitive information,Y
Which of these programs are an example of spreadsheet software?,Software,Chrome,Microsoft Excel,N
A monitor is an input device,Hardware,False,False,Y
Photoshop is a raster image software,Software,True,True,Y
Tick all the following examples of cloud storage,Software,MEGA,N
Tick all the following input devices,Hardware,Keyboard,N
Score is 6 out of 14
