Question,Topic,UserAnswer(s),CorrectAnswer (MultiChoice),Correct?
What is the brain of a PC?,Hardware,Motherboard,CPU (Central Processing Unit),N
What does a "firewall" do?,Software,Recover lost data,Protects a device from threats,N
Which of the following are an 'input device'?,Hardware,Mouse,Mouse,Y
Which of the following are an 'output device'?,Hardware,Printer,Printer,Y
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Y
Which of these programming languages are used for building websites?,HTML,HTML,HTML,Y
Which of these is an example of cloud storage?,Software,Google Drive,Google Drive,Y
What does 'phishing' mean?,Software,An online scam used to steal sensitive information,An online scam used to steal sensitive information,Y
Which of these programs are an example of spreadsheet software?,Software,Microsoft Word,Microsoft Excel,N
What does "HTML" stand for?,HTML,High Tech Multimedia Library,Hyper Text Markup Language,N
Score is 6 out of 10
