Question,Topic,UserAnswer(s),CorrectAnswer (MultiChoice),Correct?
What is the brain of a PC?,Hardware,CPU (Central Processing Unit),CPU (Central Processing Unit),Yes
What does a "firewall" do?,Software,Protects a device from threats,Protects a device from threats,Yes
Which of the following are an 'input device'?,Hardware,Mouse,Mouse,Yes
Which of the following are an 'output device'?,Hardware,Printer,Printer,Yes
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Yes
Which of these programming languages are used for building websites?,HTML,HTML,HTML,Yes
Which of these is an example of cloud storage?,Software,Google Drive,Google Drive,Yes
What does 'phishing' mean?,Software,An online scam used to steal sensitive information,An online scam used to steal sensitive information,Yes
Which of these programs are an example of spreadsheet software?,Software,Microsoft Excel,Microsoft Excel,Yes
What does "HTML" stand for?,HTML,Hyper Text Markup Language,Hyper Text Markup Language,Yes
Score: 10 out of 10
