Question,Topic,UserAnswer(s),CorrectAnswer (MultiChoice),Correct?
What is the brain of a PC?,Hardware,CPU (Central Processing Unit),CPU (Central Processing Unit),Y
What does a "firewall" do?,Software,Make the device run better,Protects a device from threats,N
Which of the following are an 'input device'?,Hardware,Printer,Mouse,N
What does "HTML" stand for?,HTML,Hyper Text Markup Language,Hyper Text Markup Language,Y
Which of the following are an 'output device'?,Hardware,Keyboard,Printer,N
Which does "URL" stand for?,Software,Universal Resource Locator,Universal Resource Locator,Y
Which of these programming languages are used for building websites?,HTML,HTML,HTML,Y
Which of these is an example of cloud storage?,Software,Google Drive,Google Drive,Y
What does 'phishing' mean?,Software,A hacking technique,An online scam used to steal sensitive information,N
Which of these programs are an example of spreadsheet software?,Software,Google Docs,Microsoft Excel,N
A monitor is an input device,Hardware,False,False,Y
Photoshop is a raster image software,Software,False,True,N
Tick all the following examples of cloud storage,Software,MEGA,N
Tick all the following input devices,Hardware,Keyboard,N
Score is 6 out of 14
